"PublisherLabel" "RegistrationDate" "Ethnicity" "Nationality" "Reason" "Need" "Age" "DecisionDate" "Decision" "DecisionCode"
"London Borough of Hounslow" 2004-03-01 "Asian/AsBrit: Other" "Other EEA National" "eviction - parents" "dependent children" 34 2011-02-04 "approved permanent rehous" 1
"London Borough of Hounslow" 2004-03-04 "White: British" "Not Rec" "eviction - relatives" "pregnant" 24 2005-08-08 "Not Homeless" 4
"London Borough of Hounslow" 2004-04-06 "Asian/AsBrit: Indian" "Not Rec" "DV - assoc pers not partn" "domestic violence/ threat" 66 2005-07-19 "Successful review/appeal" 1
"London Borough of Hounslow" 2004-04-22 "Black/BlkBrit: African" "Not Rec" "resident llord eviction" "dependent children" 53 2005-11-11 "Not Homeless" 4
"London Borough of Hounslow" 2004-04-23 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 46 2005-11-01 "Intentionally homeless" 2
"London Borough of Hounslow" 2004-08-20 "Black/BlkBrit: African" "Other EEA National" "end AST not arrears" "dependent children" 40 2007-04-26 "not elig, other" 5
"London Borough of Hounslow" 2004-09-20 "White: Other" "Not Rec" "eviction - relatives" "dependent children" 38 2005-04-12 "Not Homeless" 4
"London Borough of Hounslow" 2004-09-23 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 22 2005-08-18 "approved permanent rehous" 1
"London Borough of Hounslow" 2004-10-04 "White: British" "Not Rec" "eviction - parents" "dependent children" 22 2005-05-03 "Not Homeless" 4
"London Borough of Hounslow" 2004-10-15 "White: Other" "Not Rec" "eviction - relatives" "vulnerable-mental illness" 35 2005-11-18 "resettlement case" 1
"London Borough of Hounslow" 2004-10-21 "White: British" "Not Rec" "eviction - parents" "vulnerable-mental illness" 49 2006-07-18 "Not Homeless" 4
"London Borough of Hounslow" 2004-11-04 "White: British" "Not Rec" "end AST not arrears" "dependent children" 28 2005-04-12 "Not Homeless" 4
"London Borough of Hounslow" 2004-11-12 "White: British" "Not Rec" "eviction - parents" "vulnerable - other" 26 2005-04-07 "resettlement case" 1
"London Borough of Hounslow" 2004-11-18 "Mixed: Other" "Not Rec" "rent arrears - HA" "vulnerable-mental illness" 24 2005-06-23 "Intentionally homeless" 2
"London Borough of Hounslow" 2004-11-25 "White: Other" "Not Rec" "DV - partner" "dependent children" 38 2006-01-31 "Not Homeless" 4
"London Borough of Hounslow" 2004-11-30 "Other" "Not Rec" "leaving hospital" "vulnerable - physical" 42 2008-08-11 "approved permanent rehous" 1
"London Borough of Hounslow" 2004-12-06 "Black/BlkBrit: African" "Not Rec" "eviction - parents" "vulnerable-mental illness" 29 2005-07-07 "resettlement case" 1
"London Borough of Hounslow" 2004-12-09 "Mixed: Other" "Not Rec" "eviction - relatives" "young person 16/17 yrs" 16 2005-05-12 "resettlement case" 1
"London Borough of Hounslow" 2004-12-09 "Black/BlkBrit: Other" "Not Rec" "other" "vulnerable - other" 38 2005-05-13 "Not Homeless" 4
"London Borough of Hounslow" 2004-12-14 "Black/BlkBrit: Other" "Not Rec" "end NASS accommodation" "vulnerable - physical" 22 2005-04-07 "resettlement case" 1
"London Borough of Hounslow" 2004-12-14 "No Information Provided" "Not Rec" "eviction - friends" "dependent children" 39 2005-04-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-01-13 "White: British" "Not Rec" "other" "vulnerable - physical" 79 2005-06-27 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-01-19 "White: British" "Not Rec" "sleeping rough" "vulnerable - physical" 34 2005-04-20 "resettlement case" 1
"London Borough of Hounslow" 2005-01-19 "Black/BlkBrit: African" "Not Rec" "eviction - friends" "dependent children" 36 2005-09-23 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-01-20 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "vulnerable - physical" 53 2005-05-19 "resettlement case" 1
"London Borough of Hounslow" 2005-01-21 "White: Other" "Not Rec" "sleeping rough" "vulnerable-mental illness" 34 2005-04-29 "resettlement case" 1
"London Borough of Hounslow" 2005-01-25 "White: British" "Not Rec" "eviction - relatives" "dependent children" 36 2005-04-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-01-27 "White: British" "Not Rec" "end AST not arrears" "vulnerable - physical" 46 2005-04-29 "Intentionally homeless" 2
"London Borough of Hounslow" 2005-01-27 "Black/BlkBrit: Other" "Not Rec" "eviction - friends" "dependent children" 24 2005-07-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-01-31 "White: British" "Not Rec" "eviction - parents" "dependent children" 19 2005-04-11 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-01-31 "Black/BlkBrit: African" "Not Rec" "relationshp brkdwn not DV" "dependent children" 41 2005-06-07 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-01 "Asian/AsBrit: Pakistani" "Not Rec" "end AST not arrears" "dependent children" 45 2005-04-14 "Intentionally homeless" 2
"London Borough of Hounslow" 2005-02-01 "Black/BlkBrit: African" "Not Rec" "eviction - friends" "dependent children" 30 2005-04-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-02 "White: British" "Not Rec" "leaving hospital" "vulnerable-mental illness" 47 2005-04-18 "resettlement case" 1
"London Borough of Hounslow" 2005-02-03 "White: British" "Not Rec" "leaving hospital" "vulnerable-mental illness" 22 2005-05-20 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-03 "White: British" "Not Rec" "leaving hospital" "vulnerable-mental illness" 22 2005-05-20 "resettlement case" 1
"London Borough of Hounslow" 2005-02-04 "No Information Provided" "Not Rec" "eviction - parents" "vulnerable - physical" 21 2005-04-05 "Not Homeless" 4
"London Borough of Hounslow" 2005-02-07 "Black/BlkBrit: African" "Not Rec" "eviction - relatives" "dependent children" 51 2005-04-05 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-08 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "pregnant" 39 2005-06-28 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-08 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 36 2006-01-17 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-09 "Asian/AsBrit: Pakistani" "Not Rec" "end AST not arrears" "dependent children" 37 2005-04-08 "Intentionally homeless" 2
"London Borough of Hounslow" 2005-02-11 "Asian/AsBrit: Indian" "Not Rec" "end AST not arrears" "dependent children" 26 2005-04-05 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-14 "White: British" "Not Rec" "eviction - parents" "pregnant" 18 2005-04-04 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-14 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 45 2005-04-19 "not elig, other" 5
"London Borough of Hounslow" 2005-02-14 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "vulnerable - physical" 24 2005-04-26 "resettlement case" 1
"London Borough of Hounslow" 2005-02-14 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 45 2005-05-27 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-15 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 16 2005-04-15 "resettlement case" 1
"London Borough of Hounslow" 2005-02-16 "White: British" "Not Rec" "eviction - parents" "vulnerable-mental illness" 30 2005-06-27 "resettlement case" 1
"London Borough of Hounslow" 2005-02-17 "White: British" "Not Rec" "eviction - parents" "pregnant" 23 2005-04-04 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-18 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 35 2005-04-01 "Intentionally homeless" 2
"London Borough of Hounslow" 2005-02-18 "Asian/AsBrit: Pakistani" "UK National" "unsuitable, unfit proprty" "dependent children" 44 2005-06-16 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-21 "White: British" "Not Rec" "eviction - parents" "pregnant" 17 2005-04-26 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-21 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2005-05-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-21 "Black/BlkBrit: African" "Not Rec" "eviction - parents" "dependent children" 20 2005-05-18 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-21 "White: British" "Not Rec" "end AST not arrears" "dependent children" 31 2005-06-27 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-22 "White: British" "Not Rec" "eviction - parents" "pregnant" 18 2005-04-04 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-22 "No Information Provided" "Not Rec" "DV - partner" "pregnant" 22 2005-04-06 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-22 "White: British" "Not Rec" "DV - partner" "dependent children" 30 2005-05-10 "Not Homeless" 4
"London Borough of Hounslow" 2005-02-22 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2005-07-11 "resettlement case" 1
"London Borough of Hounslow" 2005-02-23 "White: British" "Not Rec" "eviction - parents" "pregnant" 19 2005-06-28 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-24 "White: British" "Not Rec" "eviction - friends" "vulnerable-mental illness" 35 2005-04-01 "resettlement case" 1
"London Borough of Hounslow" 2005-02-25 "Asian/AsBrit: Pakistani" "Not Rec" "rent arrears - private" "young person 16/17 yrs" 17 2005-04-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-25 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 42 2005-05-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-28 "Black/BlkBrit: African" "Not Rec" "other" "dependent children" 35 2005-04-01 "Not Homeless" 4
"London Borough of Hounslow" 2005-02-28 "White: British" "UK National" "eviction - parents" "pregnant" 18 2005-04-13 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-02-28 "No Information Provided" "Not Rec" "eviction - relatives" "vulnerable-mental illness" 28 2005-05-19 "resettlement case" 1
"London Borough of Hounslow" 2005-03-01 "White: British" "Not Rec" "eviction - parents" "pregnant" 19 2005-04-04 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-01 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 16 2005-04-08 "Intentionally homeless" 2
"London Borough of Hounslow" 2005-03-01 "White: British" "Not Rec" "eviction - parents" "pregnant" 20 2005-04-18 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-01 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2005-04-18 "resettlement case" 1
"London Borough of Hounslow" 2005-03-01 "White: Other" "Not Rec" "leaving prison" "dependent children" 25 2005-04-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-02 "Black/BlkBrit: African" "UK National" "eviction - relatives" "vulnerable-mental illness" 22 2005-04-21 "resettlement case" 1
"London Borough of Hounslow" 2005-03-02 "Black/BlkBrit: African" "UK National" "eviction - friends" "vulnerable - old age" 69 2005-05-10 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-02 "Black/BlkBrit: African" "Not Rec" "eviction - friends" "dependent children" 36 2005-07-18 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-03 "Mixed: White/Asian" "Not Rec" "rent arrears - private" "vulnerable-mental illness" 35 2005-04-26 "resettlement case" 1
"London Borough of Hounslow" 2005-03-03 "Black/BlkBrit: African" "UK National" "end NASS accommodation" "dependent children" 34 2005-04-26 "Not Homeless" 4
"London Borough of Hounslow" 2005-03-03 "White: British" "Not Rec" "eviction - parents" "vulnerable - old age" 73 2005-08-30 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-08 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 16 2005-04-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-09 "White: British" "Not Rec" "eviction - parents" "vulnerable - physical" 56 2005-06-10 "resettlement case" 1
"London Borough of Hounslow" 2005-03-10 "White: Other" "Not Rec" "DV - partner" "dependent children" 29 2005-04-06 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-10 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2005-04-15 "resettlement case" 1
"London Borough of Hounslow" 2005-03-11 "White: British" "Not Rec" "mortgage arrears" "dependent children" 22 2005-04-05 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-11 "No Information Provided" "Not Rec" "end NASS accommodation" "dependent children" 51 2005-04-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-11 "No Information Provided" "Not Rec" "end NASS accommodation" "dependent children" 53 2007-05-03 "Not Homeless" 4
"London Borough of Hounslow" 2005-03-14 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2005-05-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-15 "Black/BlkBrit: African" "Not Rec" "eviction - friends" "vulnerable - physical" 25 2005-04-04 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-15 "White: British" "Not Rec" "eviction - parents" "vulnerable - other" 18 2005-04-20 "resettlement case" 1
"London Borough of Hounslow" 2005-03-15 "White: British" "Not Rec" "mortgage arrears" "vulnerable - physical" 48 2005-04-25 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-15 "Asian/AsBrit: Pakistani" "Not Rec" "end AST not arrears" "vulnerable - physical" 43 2005-05-03 "no priority need" 3
"London Borough of Hounslow" 2005-03-16 "Other" "Not Rec" "end AST not arrears" "dependent children" 47 2005-04-22 "resettlement case" 1
"London Borough of Hounslow" 2005-03-16 "White: British" "Not Rec" "eviction - relatives" "vulnerable - old age" 16 2005-04-26 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-16 "Asian/AsBrit: Other" "Not Rec" "unsuitable, unfit proprty" "vulnerable - physical" 71 2005-04-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-16 "Asian/AsBrit: Other" "Not Rec" "unsuitable, unfit proprty" "vulnerable - physical" 72 2006-12-21 "not elig, other" 5
"London Borough of Hounslow" 2005-03-17 "Other" "Not Rec" "other harassment" "dependent children" 35 2005-04-04 "Not Homeless" 4
"London Borough of Hounslow" 2005-03-17 "White: British" "Not Rec" "DV - partner" "domestic violence/ threat" 50 2005-04-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-17 "No Information Provided" "Not Rec" "racial harassment" "vulnerable-mental illness" 18 2005-04-29 "management transfer" 1
"London Borough of Hounslow" 2005-03-18 "White: British" "Not Rec" "end AST not arrears" "vulnerable - physical" 51 2005-05-09 "resettlement case" 1
"London Borough of Hounslow" 2005-03-21 "White: British" "Not Rec" "eviction - parents" "dependent children" 21 2005-04-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-22 "Black/BlkBrit: African" "Not Rec" "eviction - friends" "dependent children" 32 2005-04-11 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-22 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "vulnerable - physical" 28 2005-04-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-22 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 31 2005-05-13 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-23 "Other" "Not Rec" "eviction - relatives" "dependent children" 29 2005-04-13 "not elig, other" 5
"London Borough of Hounslow" 2005-03-23 "White: Other" "Not Rec" "DV - partner" "no priority need" 36 2005-04-26 "no priority need" 3
"London Borough of Hounslow" 2005-03-23 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2005-05-09 "resettlement case" 1
"London Borough of Hounslow" 2005-03-24 "Asian/AsBrit: Pakistani" "Not Rec" "eviction - friends" "dependent children" 36 2005-04-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-24 "Asian/AsBrit: Pakistani" "Not Rec" "other harassment" "dependent children" 44 2005-04-15 "Not Homeless" 4
"London Borough of Hounslow" 2005-03-24 "White: Other" "Not Rec" "eviction - parents" "pregnant" 26 2005-04-25 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-29 "White: British" "Not Rec" "eviction - parents" "dependent children" 20 2005-04-28 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-29 "White: British" "Not Rec" "resident llord eviction" "dependent children" 29 2005-05-03 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-29 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 27 2005-05-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-29 "White: British" "Not Rec" "eviction - parents" "dependent children" 26 2005-05-13 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-29 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "former refugee/ex-asylum" 29 2005-05-26 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-30 "White: British" "Not Rec" "emergency e.g. fire" "dependent children" 27 2005-04-05 "Not Homeless" 4
"London Borough of Hounslow" 2005-03-30 "Asian/AsBrit: Indian" "Not Rec" "end NASS accommodation" "dependent children" 28 2005-04-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-31 "Asian/AsBrit: Pakistani" "Not Rec" "DV - partner" "domestic violence/ threat" 24 2005-04-01 "not elig, other" 5
"London Borough of Hounslow" 2005-03-31 "Black/BlkBrit: African" "Not Rec" "eviction - parents" "dependent children" 30 2005-04-06 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-31 "Asian/AsBrit: Other" "Not Rec" "eviction - relatives" "vulnerable - old age" 64 2005-04-07 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-31 "White: British" "Not Rec" "end AST not arrears" "young person 16/17 yrs" 16 2005-04-12 "Not Homeless" 4
"London Borough of Hounslow" 2005-03-31 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 30 2005-04-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-03-31 "White: British" "Not Rec" "DV - partner" "dependent children" 21 2005-04-20 "Not Homeless" 4
"London Borough of Hounslow" 2005-03-31 "White: Other" "Not Rec" "rent arrears - HA" "pregnant" 33 2005-04-27 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-01 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 41 2005-04-06 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-01 "White: British" "Not Rec" "emergency e.g. fire" "vulnerable - old age" 87 2005-04-12 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-01 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 32 2005-04-13 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-01 "White: Other" "Not Rec" "relationshp brkdwn not DV" "dependent children" 23 2005-04-14 "not elig, other" 5
"London Borough of Hounslow" 2005-04-01 "White: Other" "Not Rec" "end AST not arrears" "vulnerable-mental illness" 21 2005-04-20 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-01 "Black/BlkBrit: African" "Not Rec" "relationshp brkdwn not DV" "dependent children" 36 2005-04-20 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-02 "Black/BlkBrit: Other" "Not Rec" "eviction - friends" "pregnant" 19 2005-07-27 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-04 "White: Other" "Not Rec" "end tied accommodation" "pregnant" 23 2005-04-06 "no priority need" 3
"London Borough of Hounslow" 2005-04-04 "White: British" "Not Rec" "eviction - parents" "dependent children" 19 2005-04-22 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-04 "Asian/AsBrit: Pakistani" "Not Rec" "leaving hospital" "vulnerable - physical" 27 2005-04-28 "resettlement case" 1
"London Borough of Hounslow" 2005-04-05 "White: British" "UK National" "end tied accommodation" "vulnerable - physical" 65 2005-04-05 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-05 "Black/BlkBrit: African" "Not Rec" "eviction - parents" "dependent children" 26 2005-04-05 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-05 "No Information Provided" "Not Rec" "end AST not arrears" "no priority need" 38 2005-04-06 "no priority need" 3
"London Borough of Hounslow" 2005-04-05 "No Information Provided" "Not Rec" "end AST not arrears" "no priority need" 38 2005-04-06 "no priority need" 3
"London Borough of Hounslow" 2005-04-05 "Asian/AsBrit: Indian" "Not Rec" "eviction - relatives" "dependent children" 46 2005-04-18 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-05 "White: British" "Not Rec" "eviction - parents" "dependent children" 20 2005-05-05 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-05 "Black/BlkBrit: African" "Not Rec" "eviction - parents" "dependent children" 26 2005-05-18 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-05 "Asian/AsBrit: Indian" "Not Rec" "returned from abroad" "vulnerable - old age" 64 2005-06-27 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-06 "White: British" "Not Rec" "other" "vulnerable - old age" 71 2005-05-10 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-06 "Black/BlkBrit: African" "Not Rec" "end NASS accommodation" "vulnerable-mental illness" 17 2005-05-31 "no priority need" 3
"London Borough of Hounslow" 2005-04-07 "White: British" "Not Rec" "eviction - parents" "dependent children" 24 2005-04-18 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-07 "Asian/AsBrit: Other" "Not Rec" "end NASS accommodation" "dependent children" 42 2005-04-22 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-07 "White: British" "UK National" "other harassment" "vulnerable - physical" 37 2005-04-22 "resettlement case" 1
"London Borough of Hounslow" 2005-04-07 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 56 2005-04-25 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-07 "White: British" "Not Rec" "eviction - relatives" "vulnerable-mental illness" 19 2005-04-27 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-07 "Black/BlkBrit: African" "Not Rec" "eviction - parents" "dependent children" 41 2005-05-10 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-07 "White: British" "Not Rec" "eviction - parents" "pregnant" 18 2005-05-12 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-07 "Asian/AsBrit: Other" "Not Rec" "other" "dependent children" 35 2005-05-12 "Not Homeless" 4
"London Borough of Hounslow" 2005-04-07 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 16 2005-05-17 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-07 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 34 2005-06-06 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-08 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 44 2005-04-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-08 "White: British" "Not Rec" "eviction - parents" "dependent children" 24 2005-04-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2005-04-08 "White: British" "Not Rec" "resident llord eviction" "vulnerable - physical" 30 2005-04-27 "approved permanent rehous" 1
